date,taiex,tx_close,z_oos,sig_dir,position
2024/10/01,22390.39,22391.0,-1.6619,1,-1
2024/10/04,22302.71,22284.0,-0.0969,1,0
2024/10/07,22702.56,22779.0,0.2167,1,0
2024/10/08,22611.39,22575.0,-1.3240,1,-1
2024/10/09,22659.08,22702.0,0.4588,1,0
2024/10/11,22901.64,22912.0,-0.7740,1,0
2024/10/14,22975.29,23008.0,-0.2916,1,0
2024/10/15,23292.04,23225.0,-0.6515,1,0
2024/10/16,23010.98,22986.0,0.8772,1,0
2024/10/17,23053.84,23256.0,0.2503,1,0
2024/10/18,23487.27,23657.0,-3.1751,1,-1
2024/10/21,23542.53,23567.0,-2.7240,1,-1
2024/10/22,23535.43,23633.0,-0.5106,1,-1
2024/10/23,23334.76,23406.0,-1.6266,1,-1
2024/10/24,23192.52,23304.0,-1.2038,1,-1
2024/10/25,23348.45,23481.0,-1.6859,1,0
2024/10/28,23198.07,23326.0,-2.0117,1,-1
2024/10/29,22926.59,22976.0,-1.9290,1,-1
2024/10/30,22820.43,22904.0,-0.7450,1,-1
2024/11/01,22780.08,22753.0,-1.2383,1,-1
2024/11/04,22965.39,23041.0,0.4212,1,0
2024/11/05,23106.79,23135.0,-1.0742,1,-1
2024/11/06,23217.38,23324.0,-0.4066,1,0
2024/11/07,23408.82,23532.0,-1.5454,1,-1
2024/11/08,23553.89,23781.0,-1.8026,1,-1
2024/11/11,23529.64,23573.0,-2.9977,1,-1
2024/11/12,22981.77,22869.0,-0.4448,1,0
2024/11/13,22860.23,22783.0,1.7347,1,1
2024/11/14,22715.38,22684.0,1.2434,1,1
2024/11/15,22742.77,22759.0,0.6093,1,1
2024/11/18,22546.54,22574.0,-0.1365,1,0
2024/11/19,22848.8,22850.0,-0.2728,1,0
2024/11/20,22688.36,22686.0,0.0592,1,0
2024/11/21,22555.66,22573.0,0.1213,1,0
2024/11/22,22904.32,23038.0,-0.1357,1,0
2024/11/25,22948.37,23066.0,-1.7205,1,-1
2024/11/26,22678.76,22636.0,-1.5073,1,-1
2024/11/27,22334.78,22347.0,0.6829,1,-1
